Word1,Word2,FeatureCombo1,FeatureCombo2,FeatureMatch,FeatureMatchSpecific
lonliness,lonliness,abstract-negative,abstract-negative,SelfPair,an-an
lonliness,regret,abstract-negative,abstract-negative,MaxMatch,an-an
lonliness,anxiety,abstract-negative,abstract-negative,MaxMatch,an-an
lonliness,despair,abstract-negative,abstract-negative,MaxMatch,an-an
lonliness,guilt,abstract-negative,abstract-negative,MaxMatch,an-an
lonliness,grief,abstract-negative,abstract-negative,MaxMatch,an-an
lonliness,resentment,abstract-negative,abstract-negative,MaxMatch,an-an
lonliness,failure,abstract-negative,abstract-negative,MaxMatch,an-an
lonliness,shame,abstract-negative,abstract-negative,MaxMatch,an-an
lonliness,envy,abstract-negative,abstract-negative,MaxMatch,an-an
lonliness,sunshine,abstract-negative,concrete-positive,MaxMismatch,an-cp
lonliness,laughter,abstract-negative,concrete-positive,MaxMismatch,an-cp
lonliness,flowers,abstract-negative,concrete-positive,MaxMismatch,an-cp
lonliness,music,abstract-negative,concrete-positive,MaxMismatch,an-cp
lonliness,beach,abstract-negative,concrete-positive,MaxMismatch,an-cp
lonliness,hug,abstract-negative,concrete-positive,MaxMismatch,an-cp
lonliness,home,abstract-negative,concrete-positive,MaxMismatch,an-cp
lonliness,rain,abstract-negative,concrete-positive,MaxMismatch,an-cp
lonliness,chocolate,abstract-negative,concrete-positive,MaxMismatch,an-cp
lonliness,fireplace,abstract-negative,concrete-positive,MaxMismatch,an-cp
lonliness,love,abstract-negative,abstract-positive,ConceptualMatchingOnly,an-ap
lonliness,hope,abstract-negative,abstract-positive,ConceptualMatchingOnly,an-ap
lonliness,joy,abstract-negative,abstract-positive,ConceptualMatchingOnly,an-ap
lonliness,peace,abstract-negative,abstract-positive,ConceptualMatchingOnly,an-ap
lonliness,freedom,abstract-negative,abstract-positive,ConceptualMatchingOnly,an-ap
lonliness,kindness,abstract-negative,abstract-positive,ConceptualMatchingOnly,an-ap
lonliness,happiness,abstract-negative,abstract-positive,ConceptualMatchingOnly,an-ap
lonliness,compassion,abstract-negative,abstract-positive,ConceptualMatchingOnly,an-ap
lonliness,gratitude,abstract-negative,abstract-positive,ConceptualMatchingOnly,an-ap
lonliness,inspiration,abstract-negative,abstract-positive,ConceptualMatchingOnly,an-ap
lonliness,smoke,abstract-negative,concrete-negative,ValenceMatchingOnly,an-cn
lonliness,rot,abstract-negative,concrete-negative,ValenceMatchingOnly,an-cn
lonliness,mud,abstract-negative,concrete-negative,ValenceMatchingOnly,an-cn
lonliness,vomit,abstract-negative,concrete-negative,ValenceMatchingOnly,an-cn
lonliness,garbage,abstract-negative,concrete-negative,ValenceMatchingOnly,an-cn
lonliness,rust,abstract-negative,concrete-negative,ValenceMatchingOnly,an-cn
