Word1,Word2,FeatureCombo1,FeatureCombo2,FeatureMatch,Valence,Conceptual
insulting,greedy,social-negative,social-negative,MaxMatch,NegativeMatch,SocialMatch
insulting,grumpy,social-negative,social-negative,MaxMatch,NegativeMatch,SocialMatch
insulting,heartbroken,social-negative,social-negative,MaxMatch,NegativeMatch,SocialMatch
insulting,racist,social-negative,social-negative,MaxMatch,NegativeMatch,SocialMatch
insulting,dreaded,social-negative,social-negative,MaxMatch,NegativeMatch,SocialMatch
insulting,humiliating,social-negative,social-negative,MaxMatch,NegativeMatch,SocialMatch
insulting,stingy,social-negative,social-negative,MaxMatch,NegativeMatch,SocialMatch
insulting,infuriating,social-negative,social-negative,MaxMatch,NegativeMatch,SocialMatch
insulting,hateful,social-negative,social-negative,MaxMatch,NegativeMatch,SocialMatch
greedy,grumpy,social-negative,social-negative,MaxMatch,NegativeMatch,SocialMatch
greedy,heartbroken,social-negative,social-negative,MaxMatch,NegativeMatch,SocialMatch
greedy,racist,social-negative,social-negative,MaxMatch,NegativeMatch,SocialMatch
greedy,dreaded,social-negative,social-negative,MaxMatch,NegativeMatch,SocialMatch
greedy,humiliating,social-negative,social-negative,MaxMatch,NegativeMatch,SocialMatch
greedy,stingy,social-negative,social-negative,MaxMatch,NegativeMatch,SocialMatch
greedy,infuriating,social-negative,social-negative,MaxMatch,NegativeMatch,SocialMatch
greedy,hateful,social-negative,social-negative,MaxMatch,NegativeMatch,SocialMatch
grumpy,heartbroken,social-negative,social-negative,MaxMatch,NegativeMatch,SocialMatch
grumpy,racist,social-negative,social-negative,MaxMatch,NegativeMatch,SocialMatch
grumpy,dreaded,social-negative,social-negative,MaxMatch,NegativeMatch,SocialMatch
grumpy,humiliating,social-negative,social-negative,MaxMatch,NegativeMatch,SocialMatch
grumpy,stingy,social-negative,social-negative,MaxMatch,NegativeMatch,SocialMatch
grumpy,infuriating,social-negative,social-negative,MaxMatch,NegativeMatch,SocialMatch
grumpy,hateful,social-negative,social-negative,MaxMatch,NegativeMatch,SocialMatch
heartbroken,racist,social-negative,social-negative,MaxMatch,NegativeMatch,SocialMatch
heartbroken,dreaded,social-negative,social-negative,MaxMatch,NegativeMatch,SocialMatch
heartbroken,humiliating,social-negative,social-negative,MaxMatch,NegativeMatch,SocialMatch
heartbroken,stingy,social-negative,social-negative,MaxMatch,NegativeMatch,SocialMatch
heartbroken,infuriating,social-negative,social-negative,MaxMatch,NegativeMatch,SocialMatch
heartbroken,hateful,social-negative,social-negative,MaxMatch,NegativeMatch,SocialMatch
racist,dreaded,social-negative,social-negative,MaxMatch,NegativeMatch,SocialMatch
racist,humiliating,social-negative,social-negative,MaxMatch,NegativeMatch,SocialMatch
racist,stingy,social-negative,social-negative,MaxMatch,NegativeMatch,SocialMatch
racist,infuriating,social-negative,social-negative,MaxMatch,NegativeMatch,SocialMatch
racist,hateful,social-negative,social-negative,MaxMatch,NegativeMatch,SocialMatch
dreaded,humiliating,social-negative,social-negative,MaxMatch,NegativeMatch,SocialMatch
dreaded,stingy,social-negative,social-negative,MaxMatch,NegativeMatch,SocialMatch
dreaded,infuriating,social-negative,social-negative,MaxMatch,NegativeMatch,SocialMatch
dreaded,hateful,social-negative,social-negative,MaxMatch,NegativeMatch,SocialMatch
humiliating,stingy,social-negative,social-negative,MaxMatch,NegativeMatch,SocialMatch
humiliating,infuriating,social-negative,social-negative,MaxMatch,NegativeMatch,SocialMatch
humiliating,hateful,social-negative,social-negative,MaxMatch,NegativeMatch,SocialMatch
stingy,infuriating,social-negative,social-negative,MaxMatch,NegativeMatch,SocialMatch
stingy,hateful,social-negative,social-negative,MaxMatch,NegativeMatch,SocialMatch
infuriating,hateful,social-negative,social-negative,MaxMatch,NegativeMatch,SocialMatch
