Word1,Word2,FeatureCombo1,FeatureCombo2,FeatureMatch,Valence,Conceptual
admire,glide,verb-positive,verb-postiive,ConceptualMatchingOnly,PositiveMismatch,ConceptualMatch:verb
admire,breathe,verb-positive,verb-postiive,ConceptualMatchingOnly,PositiveMismatch,ConceptualMatch:verb
admire,glisten,verb-positive,verb-postiive,ConceptualMatchingOnly,PositiveMismatch,ConceptualMatch:verb
admire,eat,verb-positive,verb-postiive,ConceptualMatchingOnly,PositiveMismatch,ConceptualMatch:verb
admire,running,verb-positive,verb-postiive,ConceptualMatchingOnly,PositiveMismatch,ConceptualMatch:verb
cherish,glide,verb-positive,verb-postiive,ConceptualMatchingOnly,PositiveMismatch,ConceptualMatch:verb
cherish,breathe,verb-positive,verb-postiive,ConceptualMatchingOnly,PositiveMismatch,ConceptualMatch:verb
cherish,glisten,verb-positive,verb-postiive,ConceptualMatchingOnly,PositiveMismatch,ConceptualMatch:verb
cherish,eat,verb-positive,verb-postiive,ConceptualMatchingOnly,PositiveMismatch,ConceptualMatch:verb
cherish,running,verb-positive,verb-postiive,ConceptualMatchingOnly,PositiveMismatch,ConceptualMatch:verb
enlighten,glide,verb-positive,verb-postiive,ConceptualMatchingOnly,PositiveMismatch,ConceptualMatch:verb
enlighten,breathe,verb-positive,verb-postiive,ConceptualMatchingOnly,PositiveMismatch,ConceptualMatch:verb
enlighten,glisten,verb-positive,verb-postiive,ConceptualMatchingOnly,PositiveMismatch,ConceptualMatch:verb
enlighten,eat,verb-positive,verb-postiive,ConceptualMatchingOnly,PositiveMismatch,ConceptualMatch:verb
enlighten,running,verb-positive,verb-postiive,ConceptualMatchingOnly,PositiveMismatch,ConceptualMatch:verb
fulfill,glide,verb-positive,verb-postiive,ConceptualMatchingOnly,PositiveMismatch,ConceptualMatch:verb
fulfill,breathe,verb-positive,verb-postiive,ConceptualMatchingOnly,PositiveMismatch,ConceptualMatch:verb
fulfill,glisten,verb-positive,verb-postiive,ConceptualMatchingOnly,PositiveMismatch,ConceptualMatch:verb
fulfill,eat,verb-positive,verb-postiive,ConceptualMatchingOnly,PositiveMismatch,ConceptualMatch:verb
fulfill,running,verb-positive,verb-postiive,ConceptualMatchingOnly,PositiveMismatch,ConceptualMatch:verb
imagine,glide,verb-positive,verb-postiive,ConceptualMatchingOnly,PositiveMismatch,ConceptualMatch:verb
imagine,breathe,verb-positive,verb-postiive,ConceptualMatchingOnly,PositiveMismatch,ConceptualMatch:verb
imagine,glisten,verb-positive,verb-postiive,ConceptualMatchingOnly,PositiveMismatch,ConceptualMatch:verb
imagine,eat,verb-positive,verb-postiive,ConceptualMatchingOnly,PositiveMismatch,ConceptualMatch:verb
imagine,running,verb-positive,verb-postiive,ConceptualMatchingOnly,PositiveMismatch,ConceptualMatch:verb
