Word1,Word2,FeatureCombo1,FeatureCombo2,FeatureMatch,Group
toxin,toxin,noun-negative,noun-negative,SelfPair,A
garbage,garbage,noun-negative,noun-negative,SelfPair,B
mud,mud,noun-negative,noun-negative,SelfPair,C
corpse,corpse,noun-negative,noun-negative,SelfPair,D
slave,slave,noun-negative,noun-negative,SelfPair,E
choke,choke,verb-negative,verb-negative,SelfPair,F
fester,fester,verb-negative,verb-negative,SelfPair,G
writhe,writhe,verb-negative,verb-negative,SelfPair,H
bleed,bleed,verb-negative,verb-negative,SelfPair,I
stab,stab,verb-negative,verb-negative,SelfPair,J
terror,terror,noun-negative,noun-negative,SelfPair,AA
hatred,hatred,noun-negative,noun-negative,SelfPair,BB
anxiety,anxiety,noun-negative,noun-negative,SelfPair,CC
failure,failure,noun-negative,noun-negative,SelfPair,DD
grief,grief,noun-negative,noun-negative,SelfPair,EE
befall,befall,verb-negative,verb-negative,SelfPair,FF
criticize,criticize,verb-negative,verb-negative,SelfPair,GG
exploit,exploit,verb-negative,verb-negative,SelfPair,HH
resent,resent,verb-negative,verb-negative,SelfPair,II
obsess,obsess,verb-negative,verb-negative,SelfPair,JJ
compassion,compassion,noun-positive,noun-positive,SelfPair,AAA
freedom,freedom,noun-positive,noun-positive,SelfPair,BBB
gratitude,gratitude,noun-positive,noun-positive,SelfPair,CCC
inspiration,inspiration,noun-positive,noun-positive,SelfPair,DDD
kindness,kindness,noun-positive,noun-positive,SelfPair,EEE
admire,admire,verb-positive,verb-positive,SelfPair,FFF
cherish,cherish,verb-positive,verb-positive,SelfPair,GGG
enlighten,enlighten,verb-positive,verb-positive,SelfPair,HHH
fulfill,fulfill,verb-positive,verb-positive,SelfPair,III
imagine,imagine,verb-positive,verb-positive,SelfPair,JJJ
beach,beach,noun-postiive,noun-postiive,SelfPair,AAAA
chocolate,chocolate,noun-postiive,noun-postiive,SelfPair,BBBB
fireplace,fireplace,noun-postiive,noun-postiive,SelfPair,CCCC
flowers,flowers,noun-postiive,noun-postiive,SelfPair,DDDD
home,home,noun-postiive,noun-postiive,SelfPair,EEEE
glide,glide,verb-postiive,verb-postiive,SelfPair,FFFF
breathe,breathe,verb-postiive,verb-postiive,SelfPair,GGGG
glisten,glisten,verb-postiive,verb-postiive,SelfPair,HHHH
eat,eat,verb-postiive,verb-postiive,SelfPair,IIII
running,running,verb-postiive,verb-postiive,SelfPair,JJJJ
