"","...1","ID.Ibex","Label","Response","FeatureMatch","Word1","Word2","WordPair","Conceptual","Valence","Category","Experiment"
"1",1,"616d94407f0e63a61e856056","control_Dissimilar",0,"DissimilarControl","add","remove","add-remove","Conc-Abs",NA,"Verbs","Ex1a: Conc-Abs (Verbs)"
"2",2,"616d94407f0e63a61e856056","control_Similar",99,"SimilarControl","help","assist","help-assist","Conc-Abs",NA,"Verbs","Ex1a: Conc-Abs (Verbs)"
"3",3,"616d94407f0e63a61e856056","test_ValenceMatch_Negative",0,"ValenceMatchingOnly","spit","worry","spit-worry","Conc-Abs","NegativeMatch","Verbs","Ex1a: Conc-Abs (Verbs)"
"4",4,"616d94407f0e63a61e856056","control_MaxMatch_Positive_Abstract",0,"MaxMatch","imagine","fulfill","imagine-fulfill","Conc-Abs","PositiveMatch","Verbs","Ex1a: Conc-Abs (Verbs)"
"5",5,"616d94407f0e63a61e856056","test_ConceptualMatch_Abstract",0,"ConceptualMatchingOnly","worry","esteem","worry-esteem","Conc-Abs","NegativeMismatch","Verbs","Ex1a: Conc-Abs (Verbs)"
"6",6,"616d94407f0e63a61e856056","control_MaxMatch_Positive_Concrete",0,"MaxMatch","cook","running","cook-running","Conc-Abs","PositiveMatch","Verbs","Ex1a: Conc-Abs (Verbs)"
"7",7,"616d94407f0e63a61e856056","control_MaxMatch_Negative_Abstract",0,"MaxMatch","exploit","obsess","exploit-obsess","Conc-Abs","NegativeMatch","Verbs","Ex1a: Conc-Abs (Verbs)"
"8",8,"616d94407f0e63a61e856056","test_ValenceMatch_Positive",0,"ValenceMatchingOnly","swing","justify","swing-justify","Conc-Abs","PositiveMatch","Verbs","Ex1a: Conc-Abs (Verbs)"
"9",9,"616d94407f0e63a61e856056","control_MaxMismatch",0,"MaxMismatch","annoy","hope","annoy-hope","Conc-Abs","NegativeMismatch","Verbs","Ex1a: Conc-Abs (Verbs)"
"10",10,"616d94407f0e63a61e856056","control_MaxMatch_Negative_Concrete",69,"MaxMatch","puke","spit","puke-spit","Conc-Abs","NegativeMatch","Verbs","Ex1a: Conc-Abs (Verbs)"
"11",11,"616d94407f0e63a61e856056","control_Dissimilar",0,"DissimilarControl","give","take","give-take","Conc-Abs",NA,"Verbs","Ex1a: Conc-Abs (Verbs)"
"12",12,"616d94407f0e63a61e856056","control_Similar",99,"SimilarControl","show","display","show-display","Conc-Abs",NA,"Verbs","Ex1a: Conc-Abs (Verbs)"
"13",13,"616d94407f0e63a61e856056","test_ConceptualMatch_Concrete",0,"ConceptualMatchingOnly","smile","kill","smile-kill","Conc-Abs","PositiveMismatch","Verbs","Ex1a: Conc-Abs (Verbs)"
"14",14,"616d94407f0e63a61e856056","control_Dissimilar",0,"DissimilarControl","come","go","come-go","Conc-Abs",NA,"Verbs","Ex1a: Conc-Abs (Verbs)"
"15",15,"616d94407f0e63a61e856056","control_Similar",99,"SimilarControl","need","require","need-require","Conc-Abs",NA,"Verbs","Ex1a: Conc-Abs (Verbs)"
"16",16,"616d94407f0e63a61e856056","test_ValenceMatch_Negative",0,"ValenceMatchingOnly","puke","worry","puke-worry","Conc-Abs","NegativeMatch","Verbs","Ex1a: Conc-Abs (Verbs)"
"17",17,"616d94407f0e63a61e856056","control_MaxMatch_Positive_Abstract",0,"MaxMatch","believe","esteem","believe-esteem","Conc-Abs","PositiveMatch","Verbs","Ex1a: Conc-Abs (Verbs)"
"18",18,"616d94407f0e63a61e856056","test_ConceptualMatch_Abstract",0,"ConceptualMatchingOnly","loathe","hope","loathe-hope","Conc-Abs","NegativeMismatch","Verbs","Ex1a: Conc-Abs (Verbs)"
"19",19,"616d94407f0e63a61e856056","control_MaxMatch_Positive_Concrete",0,"MaxMatch","cook","sail","cook-sail","Conc-Abs","PositiveMatch","Verbs","Ex1a: Conc-Abs (Verbs)"
