Word1,Word2,FeatureCombo1,FeatureCombo2,FeatureMatch,Valence,Conceptual
moldy,insulting,physical-negative,social-negative,ValenceMatchingOnly,NegativeMatch,PhysicalMismatch
moldy,greedy,physical-negative,social-negative,ValenceMatchingOnly,NegativeMatch,PhysicalMismatch
moldy,grumpy,physical-negative,social-negative,ValenceMatchingOnly,NegativeMatch,PhysicalMismatch
moldy,heartbroken,physical-negative,social-negative,ValenceMatchingOnly,NegativeMatch,PhysicalMismatch
moldy,racist,physical-negative,social-negative,ValenceMatchingOnly,NegativeMatch,PhysicalMismatch
moldy,dreaded,physical-negative,social-negative,ValenceMatchingOnly,NegativeMatch,PhysicalMismatch
moldy,humiliating,physical-negative,social-negative,ValenceMatchingOnly,NegativeMatch,PhysicalMismatch
moldy,stingy,physical-negative,social-negative,ValenceMatchingOnly,NegativeMatch,PhysicalMismatch
moldy,infuriating,physical-negative,social-negative,ValenceMatchingOnly,NegativeMatch,PhysicalMismatch
moldy,hateful,physical-negative,social-negative,ValenceMatchingOnly,NegativeMatch,PhysicalMismatch
nauseous,insulting,physical-negative,social-negative,ValenceMatchingOnly,NegativeMatch,PhysicalMismatch
nauseous,greedy,physical-negative,social-negative,ValenceMatchingOnly,NegativeMatch,PhysicalMismatch
nauseous,grumpy,physical-negative,social-negative,ValenceMatchingOnly,NegativeMatch,PhysicalMismatch
nauseous,heartbroken,physical-negative,social-negative,ValenceMatchingOnly,NegativeMatch,PhysicalMismatch
nauseous,racist,physical-negative,social-negative,ValenceMatchingOnly,NegativeMatch,PhysicalMismatch
nauseous,dreaded,physical-negative,social-negative,ValenceMatchingOnly,NegativeMatch,PhysicalMismatch
nauseous,humiliating,physical-negative,social-negative,ValenceMatchingOnly,NegativeMatch,PhysicalMismatch
nauseous,stingy,physical-negative,social-negative,ValenceMatchingOnly,NegativeMatch,PhysicalMismatch
nauseous,infuriating,physical-negative,social-negative,ValenceMatchingOnly,NegativeMatch,PhysicalMismatch
nauseous,hateful,physical-negative,social-negative,ValenceMatchingOnly,NegativeMatch,PhysicalMismatch
excruciating,insulting,physical-negative,social-negative,ValenceMatchingOnly,NegativeMatch,PhysicalMismatch
excruciating,greedy,physical-negative,social-negative,ValenceMatchingOnly,NegativeMatch,PhysicalMismatch
excruciating,grumpy,physical-negative,social-negative,ValenceMatchingOnly,NegativeMatch,PhysicalMismatch
excruciating,heartbroken,physical-negative,social-negative,ValenceMatchingOnly,NegativeMatch,PhysicalMismatch
excruciating,racist,physical-negative,social-negative,ValenceMatchingOnly,NegativeMatch,PhysicalMismatch
excruciating,dreaded,physical-negative,social-negative,ValenceMatchingOnly,NegativeMatch,PhysicalMismatch
excruciating,humiliating,physical-negative,social-negative,ValenceMatchingOnly,NegativeMatch,PhysicalMismatch
excruciating,stingy,physical-negative,social-negative,ValenceMatchingOnly,NegativeMatch,PhysicalMismatch
excruciating,infuriating,physical-negative,social-negative,ValenceMatchingOnly,NegativeMatch,PhysicalMismatch
excruciating,hateful,physical-negative,social-negative,ValenceMatchingOnly,NegativeMatch,PhysicalMismatch
comatose,insulting,physical-negative,social-negative,ValenceMatchingOnly,NegativeMatch,PhysicalMismatch
comatose,greedy,physical-negative,social-negative,ValenceMatchingOnly,NegativeMatch,PhysicalMismatch
comatose,grumpy,physical-negative,social-negative,ValenceMatchingOnly,NegativeMatch,PhysicalMismatch
comatose,heartbroken,physical-negative,social-negative,ValenceMatchingOnly,NegativeMatch,PhysicalMismatch
comatose,racist,physical-negative,social-negative,ValenceMatchingOnly,NegativeMatch,PhysicalMismatch
comatose,dreaded,physical-negative,social-negative,ValenceMatchingOnly,NegativeMatch,PhysicalMismatch
comatose,humiliating,physical-negative,social-negative,ValenceMatchingOnly,NegativeMatch,PhysicalMismatch
comatose,stingy,physical-negative,social-negative,ValenceMatchingOnly,NegativeMatch,PhysicalMismatch
comatose,infuriating,physical-negative,social-negative,ValenceMatchingOnly,NegativeMatch,PhysicalMismatch
comatose,hateful,physical-negative,social-negative,ValenceMatchingOnly,NegativeMatch,PhysicalMismatch
obese,insulting,physical-negative,social-negative,ValenceMatchingOnly,NegativeMatch,PhysicalMismatch
obese,greedy,physical-negative,social-negative,ValenceMatchingOnly,NegativeMatch,PhysicalMismatch
obese,grumpy,physical-negative,social-negative,ValenceMatchingOnly,NegativeMatch,PhysicalMismatch
obese,heartbroken,physical-negative,social-negative,ValenceMatchingOnly,NegativeMatch,PhysicalMismatch
obese,racist,physical-negative,social-negative,ValenceMatchingOnly,NegativeMatch,PhysicalMismatch
obese,dreaded,physical-negative,social-negative,ValenceMatchingOnly,NegativeMatch,PhysicalMismatch
obese,humiliating,physical-negative,social-negative,ValenceMatchingOnly,NegativeMatch,PhysicalMismatch
obese,stingy,physical-negative,social-negative,ValenceMatchingOnly,NegativeMatch,PhysicalMismatch
obese,infuriating,physical-negative,social-negative,ValenceMatchingOnly,NegativeMatch,PhysicalMismatch
obese,hateful,physical-negative,social-negative,ValenceMatchingOnly,NegativeMatch,PhysicalMismatch
lifeless,insulting,physical-negative,social-negative,ValenceMatchingOnly,NegativeMatch,PhysicalMismatch
lifeless,greedy,physical-negative,social-negative,ValenceMatchingOnly,NegativeMatch,PhysicalMismatch
lifeless,grumpy,physical-negative,social-negative,ValenceMatchingOnly,NegativeMatch,PhysicalMismatch
lifeless,heartbroken,physical-negative,social-negative,ValenceMatchingOnly,NegativeMatch,PhysicalMismatch
lifeless,racist,physical-negative,social-negative,ValenceMatchingOnly,NegativeMatch,PhysicalMismatch
lifeless,dreaded,physical-negative,social-negative,ValenceMatchingOnly,NegativeMatch,PhysicalMismatch
lifeless,humiliating,physical-negative,social-negative,ValenceMatchingOnly,NegativeMatch,PhysicalMismatch
lifeless,stingy,physical-negative,social-negative,ValenceMatchingOnly,NegativeMatch,PhysicalMismatch
lifeless,infuriating,physical-negative,social-negative,ValenceMatchingOnly,NegativeMatch,PhysicalMismatch
lifeless,hateful,physical-negative,social-negative,ValenceMatchingOnly,NegativeMatch,PhysicalMismatch
rancid,insulting,physical-negative,social-negative,ValenceMatchingOnly,NegativeMatch,PhysicalMismatch
rancid,greedy,physical-negative,social-negative,ValenceMatchingOnly,NegativeMatch,PhysicalMismatch
rancid,grumpy,physical-negative,social-negative,ValenceMatchingOnly,NegativeMatch,PhysicalMismatch
rancid,heartbroken,physical-negative,social-negative,ValenceMatchingOnly,NegativeMatch,PhysicalMismatch
rancid,racist,physical-negative,social-negative,ValenceMatchingOnly,NegativeMatch,PhysicalMismatch
rancid,dreaded,physical-negative,social-negative,ValenceMatchingOnly,NegativeMatch,PhysicalMismatch
rancid,humiliating,physical-negative,social-negative,ValenceMatchingOnly,NegativeMatch,PhysicalMismatch
rancid,stingy,physical-negative,social-negative,ValenceMatchingOnly,NegativeMatch,PhysicalMismatch
rancid,infuriating,physical-negative,social-negative,ValenceMatchingOnly,NegativeMatch,PhysicalMismatch
rancid,hateful,physical-negative,social-negative,ValenceMatchingOnly,NegativeMatch,PhysicalMismatch
seasick,insulting,physical-negative,social-negative,ValenceMatchingOnly,NegativeMatch,PhysicalMismatch
seasick,greedy,physical-negative,social-negative,ValenceMatchingOnly,NegativeMatch,PhysicalMismatch
seasick,grumpy,physical-negative,social-negative,ValenceMatchingOnly,NegativeMatch,PhysicalMismatch
seasick,heartbroken,physical-negative,social-negative,ValenceMatchingOnly,NegativeMatch,PhysicalMismatch
seasick,racist,physical-negative,social-negative,ValenceMatchingOnly,NegativeMatch,PhysicalMismatch
seasick,dreaded,physical-negative,social-negative,ValenceMatchingOnly,NegativeMatch,PhysicalMismatch
seasick,humiliating,physical-negative,social-negative,ValenceMatchingOnly,NegativeMatch,PhysicalMismatch
seasick,stingy,physical-negative,social-negative,ValenceMatchingOnly,NegativeMatch,PhysicalMismatch
seasick,infuriating,physical-negative,social-negative,ValenceMatchingOnly,NegativeMatch,PhysicalMismatch
seasick,hateful,physical-negative,social-negative,ValenceMatchingOnly,NegativeMatch,PhysicalMismatch
itchy,insulting,physical-negative,social-negative,ValenceMatchingOnly,NegativeMatch,PhysicalMismatch
itchy,greedy,physical-negative,social-negative,ValenceMatchingOnly,NegativeMatch,PhysicalMismatch
itchy,grumpy,physical-negative,social-negative,ValenceMatchingOnly,NegativeMatch,PhysicalMismatch
itchy,heartbroken,physical-negative,social-negative,ValenceMatchingOnly,NegativeMatch,PhysicalMismatch
itchy,racist,physical-negative,social-negative,ValenceMatchingOnly,NegativeMatch,PhysicalMismatch
itchy,dreaded,physical-negative,social-negative,ValenceMatchingOnly,NegativeMatch,PhysicalMismatch
itchy,humiliating,physical-negative,social-negative,ValenceMatchingOnly,NegativeMatch,PhysicalMismatch
itchy,stingy,physical-negative,social-negative,ValenceMatchingOnly,NegativeMatch,PhysicalMismatch
