Word1,Word2,FeatureCombo1,FeatureCombo2,FeatureMatch,Valence,Conceptual
admire,beach,verb-positive,noun-postiive,MaxMismatch,PositiveMismatch,VerbMismatch
admire,chocolate,verb-positive,noun-postiive,MaxMismatch,PositiveMismatch,VerbMismatch
admire,fireplace,verb-positive,noun-postiive,MaxMismatch,PositiveMismatch,VerbMismatch
admire,flowers,verb-positive,noun-postiive,MaxMismatch,PositiveMismatch,VerbMismatch
admire,home,verb-positive,noun-postiive,MaxMismatch,PositiveMismatch,VerbMismatch
admire,glide,verb-positive,verb-postiive,MaxMismatch,PositiveMismatch,VerbMismatch
admire,breathe,verb-positive,verb-postiive,MaxMismatch,PositiveMismatch,VerbMismatch
admire,glisten,verb-positive,verb-postiive,MaxMismatch,PositiveMismatch,VerbMismatch
admire,eat,verb-positive,verb-postiive,MaxMismatch,PositiveMismatch,VerbMismatch
admire,running,verb-positive,verb-postiive,MaxMismatch,PositiveMismatch,VerbMismatch
cherish,beach,verb-positive,noun-postiive,MaxMismatch,PositiveMismatch,VerbMismatch
cherish,chocolate,verb-positive,noun-postiive,MaxMismatch,PositiveMismatch,VerbMismatch
cherish,fireplace,verb-positive,noun-postiive,MaxMismatch,PositiveMismatch,VerbMismatch
cherish,flowers,verb-positive,noun-postiive,MaxMismatch,PositiveMismatch,VerbMismatch
cherish,home,verb-positive,noun-postiive,MaxMismatch,PositiveMismatch,VerbMismatch
cherish,glide,verb-positive,verb-postiive,MaxMismatch,PositiveMismatch,VerbMismatch
cherish,breathe,verb-positive,verb-postiive,MaxMismatch,PositiveMismatch,VerbMismatch
cherish,glisten,verb-positive,verb-postiive,MaxMismatch,PositiveMismatch,VerbMismatch
cherish,eat,verb-positive,verb-postiive,MaxMismatch,PositiveMismatch,VerbMismatch
cherish,running,verb-positive,verb-postiive,MaxMismatch,PositiveMismatch,VerbMismatch
enlighten,beach,verb-positive,noun-postiive,MaxMismatch,PositiveMismatch,VerbMismatch
enlighten,chocolate,verb-positive,noun-postiive,MaxMismatch,PositiveMismatch,VerbMismatch
enlighten,fireplace,verb-positive,noun-postiive,MaxMismatch,PositiveMismatch,VerbMismatch
enlighten,flowers,verb-positive,noun-postiive,MaxMismatch,PositiveMismatch,VerbMismatch
enlighten,home,verb-positive,noun-postiive,MaxMismatch,PositiveMismatch,VerbMismatch
enlighten,glide,verb-positive,verb-postiive,MaxMismatch,PositiveMismatch,VerbMismatch
enlighten,breathe,verb-positive,verb-postiive,MaxMismatch,PositiveMismatch,VerbMismatch
enlighten,glisten,verb-positive,verb-postiive,MaxMismatch,PositiveMismatch,VerbMismatch
enlighten,eat,verb-positive,verb-postiive,MaxMismatch,PositiveMismatch,VerbMismatch
enlighten,running,verb-positive,verb-postiive,MaxMismatch,PositiveMismatch,VerbMismatch
fulfill,beach,verb-positive,noun-postiive,MaxMismatch,PositiveMismatch,VerbMismatch
fulfill,chocolate,verb-positive,noun-postiive,MaxMismatch,PositiveMismatch,VerbMismatch
fulfill,fireplace,verb-positive,noun-postiive,MaxMismatch,PositiveMismatch,VerbMismatch
fulfill,flowers,verb-positive,noun-postiive,MaxMismatch,PositiveMismatch,VerbMismatch
fulfill,home,verb-positive,noun-postiive,MaxMismatch,PositiveMismatch,VerbMismatch
fulfill,glide,verb-positive,verb-postiive,MaxMismatch,PositiveMismatch,VerbMismatch
fulfill,breathe,verb-positive,verb-postiive,MaxMismatch,PositiveMismatch,VerbMismatch
fulfill,glisten,verb-positive,verb-postiive,MaxMismatch,PositiveMismatch,VerbMismatch
fulfill,eat,verb-positive,verb-postiive,MaxMismatch,PositiveMismatch,VerbMismatch
fulfill,running,verb-positive,verb-postiive,MaxMismatch,PositiveMismatch,VerbMismatch
imagine,beach,verb-positive,noun-postiive,MaxMismatch,PositiveMismatch,VerbMismatch
imagine,chocolate,verb-positive,noun-postiive,MaxMismatch,PositiveMismatch,VerbMismatch
imagine,fireplace,verb-positive,noun-postiive,MaxMismatch,PositiveMismatch,VerbMismatch
imagine,flowers,verb-positive,noun-postiive,MaxMismatch,PositiveMismatch,VerbMismatch
imagine,home,verb-positive,noun-postiive,MaxMismatch,PositiveMismatch,VerbMismatch
imagine,glide,verb-positive,verb-postiive,MaxMismatch,PositiveMismatch,VerbMismatch
imagine,breathe,verb-positive,verb-postiive,MaxMismatch,PositiveMismatch,VerbMismatch
imagine,glisten,verb-positive,verb-postiive,MaxMismatch,PositiveMismatch,VerbMismatch
imagine,eat,verb-positive,verb-postiive,MaxMismatch,PositiveMismatch,VerbMismatch
imagine,running,verb-positive,verb-postiive,MaxMismatch,PositiveMismatch,VerbMismatch
