"","ID.Ibex","Label","Response","FeatureMatch","Word1","Word2","WordPair","Conceptual","Valence"
"1","66ee4d807a6161ba6a9b5211","control_Dissimilar","0","DissimilarControl","add","remove","add-remove","",""
"2","66ee4d807a6161ba6a9b5211","control_Similar","99","SimilarControl","need","require","need-require","",""
"3","66ee4d807a6161ba6a9b5211","control_Dissimilar","0","DissimilarControl","rise","fall","rise-fall","",""
"4","66ee4d807a6161ba6a9b5211","test_ConceptualMatch_Concrete","51","ConceptualMatchingOnly","rain","filth","rain-filth","ConceptualMatch:concrete","PositiveMismatch"
"5","66ee4d807a6161ba6a9b5211","test_ConceptualMatch_Abstract","4","ConceptualMatchingOnly","envy","love","envy-love","ConceptualMatch:abstract","NegativeMismatch"
"6","66ee4d807a6161ba6a9b5211","control_MaxMatch_Negative_Abstract","47","MaxMatch","lonliness","envy","lonliness-envy","AbstractMatch","NegativeMatch"
"7","66ee4d807a6161ba6a9b5211","control_Similar","99","SimilarControl","show","display","show-display","",""
"8","66ee4d807a6161ba6a9b5211","control_MaxMismatch","47","MaxMismatch","kindness","mold","kindness-mold","AbstractMismatch","PositiveMismatch"
"9","66ee4d807a6161ba6a9b5211","test_ValenceMatch_Negative","45","ValenceMatchingOnly","resentment","rust","resentment-rust","AbstractMismatch","NegativeMatch"
"10","66ee4d807a6161ba6a9b5211","control_MaxMatch_Positive_Concrete","48","MaxMatch","beach","hug","beach-hug","ConcreteMatch","PositiveMatch"
"11","66ee4d807a6161ba6a9b5211","control_MaxMatch_Positive_Abstract","76","MaxMatch","peace","inspiration","peace-inspiration","AbstractMatch","PositiveMatch"
"12","66ee4d807a6161ba6a9b5211","test_ValenceMatch_Positive","74","ValenceMatchingOnly","flowers","compassion","flowers-compassion","ConcreteMismatch","PositiveMatch"
"13","66ee4d807a6161ba6a9b5211","control_MaxMatch_Negative_Concrete","99","MaxMatch","mud","mold","mud-mold","ConcreteMatch","NegativeMatch"
"14","66ee4d807a6161ba6a9b5211","control_Dissimilar","0","DissimilarControl","come","go","come-go","",""
"15","66ee4d807a6161ba6a9b5211","control_Similar","99","SimilarControl","begin","start","begin-start","",""
"16","66ee4d807a6161ba6a9b5211","control_Dissimilar","0","DissimilarControl","open","close","open-close","",""
"17","66ee4d807a6161ba6a9b5211","test_ConceptualMatch_Concrete","45","ConceptualMatchingOnly","beach","injury","beach-injury","ConceptualMatch:concrete","PositiveMismatch"
"18","66ee4d807a6161ba6a9b5211","test_ConceptualMatch_Abstract","53","ConceptualMatchingOnly","lonliness","gratitude","lonliness-gratitude","ConceptualMatch:abstract","NegativeMismatch"
"19","66ee4d807a6161ba6a9b5211","control_MaxMatch_Negative_Abstract","68","MaxMatch","despair","shame","despair-shame","AbstractMatch","NegativeMatch"
"20","66ee4d807a6161ba6a9b5211","control_Similar","99","SimilarControl","speak","talk","speak-talk","",""
"21","66ee4d807a6161ba6a9b5211","control_MaxMismatch","24","MaxMismatch","happiness","filth","happiness-filth","AbstractMismatch","PositiveMismatch"
"22","66ee4d807a6161ba6a9b5211","test_ValenceMatch_Negative","44","ValenceMatchingOnly","resentment","smoke","resentment-smoke","AbstractMismatch","NegativeMatch"
"23","66ee4d807a6161ba6a9b5211","control_MaxMatch_Positive_Concrete","55","MaxMatch","laughter","music","laughter-music","ConcreteMatch","PositiveMatch"
"24","66ee4d807a6161ba6a9b5211","control_MaxMatch_Positive_Abstract","85","MaxMatch","kindness","gratitude","kindness-gratitude","AbstractMatch","PositiveMatch"
"25","66ee4d807a6161ba6a9b5211","test_ValenceMatch_Positive","49","ValenceMatchingOnly","music","hope","music-hope","ConcreteMismatch","PositiveMatch"
"26","66ee4d807a6161ba6a9b5211","control_MaxMatch_Negative_Concrete","62","MaxMatch","mud","vomit","mud-vomit","ConcreteMatch","NegativeMatch"
"27","66ee4d807a6161ba6a9b5211","control_Dissimilar","0","DissimilarControl","increase","decrease","increase-decrease","",""
"28","66ee4d807a6161ba6a9b5211","control_Similar","99","SimilarControl","help","assist","help-assist","",""
"29","66ee4d807a6161ba6a9b5211","control_Dissimilar","0","DissimilarControl","push","pull","push-pull","",""
"30","66ee4d807a6161ba6a9b5211","test_ConceptualMatch_Concrete","52","ConceptualMatchingOnly","chocolate","filth","chocolate-filth","ConceptualMatch:concrete","PositiveMismatch"
"31","66ee4d807a6161ba6a9b5211","test_ConceptualMatch_Abstract","46","ConceptualMatchingOnly","anxiety","compassion","anxiety-compassion","ConceptualMatch:abstract","NegativeMismatch"
"32","66ee4d807a6161ba6a9b5211","control_MaxMatch_Negative_Abstract","67","MaxMatch","regret","grief","regret-grief","AbstractMatch","NegativeMatch"
"33","66ee4d807a6161ba6a9b5211","control_Similar","95","SimilarControl","use","employ","use-employ","",""
"34","66ee4d807a6161ba6a9b5211","control_MaxMismatch","46","MaxMismatch","compassion","vomit","compassion-vomit","AbstractMismatch","PositiveMismatch"
"35","66ee4d807a6161ba6a9b5211","test_ValenceMatch_Negative","48","ValenceMatchingOnly","regret","rust","regret-rust","AbstractMismatch","NegativeMatch"
"36","66ee4d807a6161ba6a9b5211","control_MaxMatch_Positive_Concrete","49","MaxMatch","chocolate","fireplace","chocolate-fireplace","ConcreteMatch","PositiveMatch"
