Word1,Word2,FeatureCombo1,FeatureCombo2,FeatureMatch,Valence,Conceptual
compassion,admire,noun-positive,verb-positive,ValenceMatchingOnly,PositiveMatch,NounMismatch
compassion,cherish,noun-positive,verb-positive,ValenceMatchingOnly,PositiveMatch,NounMismatch
compassion,enlighten,noun-positive,verb-positive,ValenceMatchingOnly,PositiveMatch,NounMismatch
compassion,fulfill,noun-positive,verb-positive,ValenceMatchingOnly,PositiveMatch,NounMismatch
compassion,imagine,noun-positive,verb-positive,ValenceMatchingOnly,PositiveMatch,NounMismatch
freedom,admire,noun-positive,verb-positive,ValenceMatchingOnly,PositiveMatch,NounMismatch
freedom,cherish,noun-positive,verb-positive,ValenceMatchingOnly,PositiveMatch,NounMismatch
freedom,enlighten,noun-positive,verb-positive,ValenceMatchingOnly,PositiveMatch,NounMismatch
freedom,fulfill,noun-positive,verb-positive,ValenceMatchingOnly,PositiveMatch,NounMismatch
freedom,imagine,noun-positive,verb-positive,ValenceMatchingOnly,PositiveMatch,NounMismatch
gratitude,admire,noun-positive,verb-positive,ValenceMatchingOnly,PositiveMatch,NounMismatch
gratitude,cherish,noun-positive,verb-positive,ValenceMatchingOnly,PositiveMatch,NounMismatch
gratitude,enlighten,noun-positive,verb-positive,ValenceMatchingOnly,PositiveMatch,NounMismatch
gratitude,fulfill,noun-positive,verb-positive,ValenceMatchingOnly,PositiveMatch,NounMismatch
gratitude,imagine,noun-positive,verb-positive,ValenceMatchingOnly,PositiveMatch,NounMismatch
inspiration,admire,noun-positive,verb-positive,ValenceMatchingOnly,PositiveMatch,NounMismatch
inspiration,cherish,noun-positive,verb-positive,ValenceMatchingOnly,PositiveMatch,NounMismatch
inspiration,enlighten,noun-positive,verb-positive,ValenceMatchingOnly,PositiveMatch,NounMismatch
inspiration,fulfill,noun-positive,verb-positive,ValenceMatchingOnly,PositiveMatch,NounMismatch
inspiration,imagine,noun-positive,verb-positive,ValenceMatchingOnly,PositiveMatch,NounMismatch
kindness,admire,noun-positive,verb-positive,ValenceMatchingOnly,PositiveMatch,NounMismatch
kindness,cherish,noun-positive,verb-positive,ValenceMatchingOnly,PositiveMatch,NounMismatch
kindness,enlighten,noun-positive,verb-positive,ValenceMatchingOnly,PositiveMatch,NounMismatch
kindness,fulfill,noun-positive,verb-positive,ValenceMatchingOnly,PositiveMatch,NounMismatch
kindness,imagine,noun-positive,verb-positive,ValenceMatchingOnly,PositiveMatch,NounMismatch
