Word1,Word2,FeatureCombo1,FeatureCombo2,FeatureMatch,Valence,Conceptual
content,encourage,psychological-positive,psychological-positive,MaxMatch,PositiveMatch,ConceptualMatch:psychological
content,appreciate,psychological-positive,psychological-positive,MaxMatch,PositiveMatch,ConceptualMatch:psychological
content,impress,psychological-positive,psychological-positive,MaxMatch,PositiveMatch,ConceptualMatch:psychological
content,like,psychological-positive,psychological-positive,MaxMatch,PositiveMatch,ConceptualMatch:psychological
content,reassure,psychological-positive,psychological-positive,MaxMatch,PositiveMatch,ConceptualMatch:psychological
content,respect,psychological-positive,psychological-positive,MaxMatch,PositiveMatch,ConceptualMatch:psychological
content,admire,psychological-positive,psychological-positive,MaxMatch,PositiveMatch,ConceptualMatch:psychological
content,adore,psychological-positive,psychological-positive,MaxMatch,PositiveMatch,ConceptualMatch:psychological
content,cherish,psychological-positive,psychological-positive,MaxMatch,PositiveMatch,ConceptualMatch:psychological
encourage,appreciate,psychological-positive,psychological-positive,MaxMatch,PositiveMatch,ConceptualMatch:psychological
encourage,impress,psychological-positive,psychological-positive,MaxMatch,PositiveMatch,ConceptualMatch:psychological
encourage,like,psychological-positive,psychological-positive,MaxMatch,PositiveMatch,ConceptualMatch:psychological
encourage,reassure,psychological-positive,psychological-positive,MaxMatch,PositiveMatch,ConceptualMatch:psychological
encourage,respect,psychological-positive,psychological-positive,MaxMatch,PositiveMatch,ConceptualMatch:psychological
encourage,admire,psychological-positive,psychological-positive,MaxMatch,PositiveMatch,ConceptualMatch:psychological
encourage,adore,psychological-positive,psychological-positive,MaxMatch,PositiveMatch,ConceptualMatch:psychological
encourage,cherish,psychological-positive,psychological-positive,MaxMatch,PositiveMatch,ConceptualMatch:psychological
appreciate,impress,psychological-positive,psychological-positive,MaxMatch,PositiveMatch,ConceptualMatch:psychological
appreciate,like,psychological-positive,psychological-positive,MaxMatch,PositiveMatch,ConceptualMatch:psychological
appreciate,reassure,psychological-positive,psychological-positive,MaxMatch,PositiveMatch,ConceptualMatch:psychological
appreciate,respect,psychological-positive,psychological-positive,MaxMatch,PositiveMatch,ConceptualMatch:psychological
appreciate,admire,psychological-positive,psychological-positive,MaxMatch,PositiveMatch,ConceptualMatch:psychological
appreciate,adore,psychological-positive,psychological-positive,MaxMatch,PositiveMatch,ConceptualMatch:psychological
appreciate,cherish,psychological-positive,psychological-positive,MaxMatch,PositiveMatch,ConceptualMatch:psychological
impress,like,psychological-positive,psychological-positive,MaxMatch,PositiveMatch,ConceptualMatch:psychological
impress,reassure,psychological-positive,psychological-positive,MaxMatch,PositiveMatch,ConceptualMatch:psychological
impress,respect,psychological-positive,psychological-positive,MaxMatch,PositiveMatch,ConceptualMatch:psychological
impress,admire,psychological-positive,psychological-positive,MaxMatch,PositiveMatch,ConceptualMatch:psychological
impress,adore,psychological-positive,psychological-positive,MaxMatch,PositiveMatch,ConceptualMatch:psychological
impress,cherish,psychological-positive,psychological-positive,MaxMatch,PositiveMatch,ConceptualMatch:psychological
like,reassure,psychological-positive,psychological-positive,MaxMatch,PositiveMatch,ConceptualMatch:psychological
like,respect,psychological-positive,psychological-positive,MaxMatch,PositiveMatch,ConceptualMatch:psychological
like,admire,psychological-positive,psychological-positive,MaxMatch,PositiveMatch,ConceptualMatch:psychological
like,adore,psychological-positive,psychological-positive,MaxMatch,PositiveMatch,ConceptualMatch:psychological
like,cherish,psychological-positive,psychological-positive,MaxMatch,PositiveMatch,ConceptualMatch:psychological
reassure,respect,psychological-positive,psychological-positive,MaxMatch,PositiveMatch,ConceptualMatch:psychological
reassure,admire,psychological-positive,psychological-positive,MaxMatch,PositiveMatch,ConceptualMatch:psychological
reassure,adore,psychological-positive,psychological-positive,MaxMatch,PositiveMatch,ConceptualMatch:psychological
reassure,cherish,psychological-positive,psychological-positive,MaxMatch,PositiveMatch,ConceptualMatch:psychological
respect,admire,psychological-positive,psychological-positive,MaxMatch,PositiveMatch,ConceptualMatch:psychological
respect,adore,psychological-positive,psychological-positive,MaxMatch,PositiveMatch,ConceptualMatch:psychological
respect,cherish,psychological-positive,psychological-positive,MaxMatch,PositiveMatch,ConceptualMatch:psychological
admire,adore,psychological-positive,psychological-positive,MaxMatch,PositiveMatch,ConceptualMatch:psychological
admire,cherish,psychological-positive,psychological-positive,MaxMatch,PositiveMatch,ConceptualMatch:psychological
adore,cherish,psychological-positive,psychological-positive,MaxMatch,PositiveMatch,ConceptualMatch:psychological
