Word1,Word2,FeatureCombo1,FeatureCombo2,FeatureMatch,Valence,Conceptual
content,rust,psychological-positive,physical-negative,MaxMismatch,PositiveMismatch,ConceptualMismatch:psychological
content,slaughter,psychological-positive,physical-negative,MaxMismatch,PositiveMismatch,ConceptualMismatch:psychological
content,slash,psychological-positive,physical-negative,MaxMismatch,PositiveMismatch,ConceptualMismatch:psychological
content,crash,psychological-positive,physical-negative,MaxMismatch,PositiveMismatch,ConceptualMismatch:psychological
content,tear,psychological-positive,physical-negative,MaxMismatch,PositiveMismatch,ConceptualMismatch:psychological
content,burn,psychological-positive,physical-negative,MaxMismatch,PositiveMismatch,ConceptualMismatch:psychological
content,hit,psychological-positive,physical-negative,MaxMismatch,PositiveMismatch,ConceptualMismatch:psychological
content,stain,psychological-positive,physical-negative,MaxMismatch,PositiveMismatch,ConceptualMismatch:psychological
content,delete,psychological-positive,physical-negative,MaxMismatch,PositiveMismatch,ConceptualMismatch:psychological
content,corrode,psychological-positive,physical-negative,MaxMismatch,PositiveMismatch,ConceptualMismatch:psychological
encourage,rust,psychological-positive,physical-negative,MaxMismatch,PositiveMismatch,ConceptualMismatch:psychological
encourage,slaughter,psychological-positive,physical-negative,MaxMismatch,PositiveMismatch,ConceptualMismatch:psychological
encourage,slash,psychological-positive,physical-negative,MaxMismatch,PositiveMismatch,ConceptualMismatch:psychological
encourage,crash,psychological-positive,physical-negative,MaxMismatch,PositiveMismatch,ConceptualMismatch:psychological
encourage,tear,psychological-positive,physical-negative,MaxMismatch,PositiveMismatch,ConceptualMismatch:psychological
encourage,burn,psychological-positive,physical-negative,MaxMismatch,PositiveMismatch,ConceptualMismatch:psychological
encourage,hit,psychological-positive,physical-negative,MaxMismatch,PositiveMismatch,ConceptualMismatch:psychological
encourage,stain,psychological-positive,physical-negative,MaxMismatch,PositiveMismatch,ConceptualMismatch:psychological
encourage,delete,psychological-positive,physical-negative,MaxMismatch,PositiveMismatch,ConceptualMismatch:psychological
encourage,corrode,psychological-positive,physical-negative,MaxMismatch,PositiveMismatch,ConceptualMismatch:psychological
appreciate,rust,psychological-positive,physical-negative,MaxMismatch,PositiveMismatch,ConceptualMismatch:psychological
appreciate,slaughter,psychological-positive,physical-negative,MaxMismatch,PositiveMismatch,ConceptualMismatch:psychological
appreciate,slash,psychological-positive,physical-negative,MaxMismatch,PositiveMismatch,ConceptualMismatch:psychological
appreciate,crash,psychological-positive,physical-negative,MaxMismatch,PositiveMismatch,ConceptualMismatch:psychological
appreciate,tear,psychological-positive,physical-negative,MaxMismatch,PositiveMismatch,ConceptualMismatch:psychological
appreciate,burn,psychological-positive,physical-negative,MaxMismatch,PositiveMismatch,ConceptualMismatch:psychological
appreciate,hit,psychological-positive,physical-negative,MaxMismatch,PositiveMismatch,ConceptualMismatch:psychological
appreciate,stain,psychological-positive,physical-negative,MaxMismatch,PositiveMismatch,ConceptualMismatch:psychological
appreciate,delete,psychological-positive,physical-negative,MaxMismatch,PositiveMismatch,ConceptualMismatch:psychological
appreciate,corrode,psychological-positive,physical-negative,MaxMismatch,PositiveMismatch,ConceptualMismatch:psychological
impress,rust,psychological-positive,physical-negative,MaxMismatch,PositiveMismatch,ConceptualMismatch:psychological
impress,slaughter,psychological-positive,physical-negative,MaxMismatch,PositiveMismatch,ConceptualMismatch:psychological
impress,slash,psychological-positive,physical-negative,MaxMismatch,PositiveMismatch,ConceptualMismatch:psychological
impress,crash,psychological-positive,physical-negative,MaxMismatch,PositiveMismatch,ConceptualMismatch:psychological
impress,tear,psychological-positive,physical-negative,MaxMismatch,PositiveMismatch,ConceptualMismatch:psychological
