Word1,Word2,FeatureCombo1,FeatureCombo2,FeatureMatch,Valence,Conceptual
rust,offend,physical-negative,psychological-negative,ValenceMatchingOnly,NegativeMatch,ConceptualMismatch:physical
rust,despair,physical-negative,psychological-negative,ValenceMatchingOnly,NegativeMatch,ConceptualMismatch:physical
rust,irritate,physical-negative,psychological-negative,ValenceMatchingOnly,NegativeMatch,ConceptualMismatch:physical
rust,displease,physical-negative,psychological-negative,ValenceMatchingOnly,NegativeMatch,ConceptualMismatch:physical
rust,dishonor,physical-negative,psychological-negative,ValenceMatchingOnly,NegativeMatch,ConceptualMismatch:physical
rust,embarrass,physical-negative,psychological-negative,ValenceMatchingOnly,NegativeMatch,ConceptualMismatch:physical
rust,discourage,physical-negative,psychological-negative,ValenceMatchingOnly,NegativeMatch,ConceptualMismatch:physical
rust,dismay,physical-negative,psychological-negative,ValenceMatchingOnly,NegativeMatch,ConceptualMismatch:physical
rust,criticize,physical-negative,psychological-negative,ValenceMatchingOnly,NegativeMatch,ConceptualMismatch:physical
rust,dread,physical-negative,psychological-negative,ValenceMatchingOnly,NegativeMatch,ConceptualMismatch:physical
slaughter,offend,physical-negative,psychological-negative,ValenceMatchingOnly,NegativeMatch,ConceptualMismatch:physical
slaughter,despair,physical-negative,psychological-negative,ValenceMatchingOnly,NegativeMatch,ConceptualMismatch:physical
slaughter,irritate,physical-negative,psychological-negative,ValenceMatchingOnly,NegativeMatch,ConceptualMismatch:physical
slaughter,displease,physical-negative,psychological-negative,ValenceMatchingOnly,NegativeMatch,ConceptualMismatch:physical
slaughter,dishonor,physical-negative,psychological-negative,ValenceMatchingOnly,NegativeMatch,ConceptualMismatch:physical
slaughter,embarrass,physical-negative,psychological-negative,ValenceMatchingOnly,NegativeMatch,ConceptualMismatch:physical
slaughter,discourage,physical-negative,psychological-negative,ValenceMatchingOnly,NegativeMatch,ConceptualMismatch:physical
slaughter,dismay,physical-negative,psychological-negative,ValenceMatchingOnly,NegativeMatch,ConceptualMismatch:physical
slaughter,criticize,physical-negative,psychological-negative,ValenceMatchingOnly,NegativeMatch,ConceptualMismatch:physical
