Word1,Word2,FeatureCombo1,FeatureCombo2,FeatureMatch,Valence,Conceptual
worthless,toothless,abstract-negative,concrete-negative,ValenceMatchingOnly,NegativeMatch,AbstractMismatch
worthless,headless,abstract-negative,concrete-negative,ValenceMatchingOnly,NegativeMatch,AbstractMismatch
worthless,bloodshot,abstract-negative,concrete-negative,ValenceMatchingOnly,NegativeMatch,AbstractMismatch
worthless,rusted,abstract-negative,concrete-negative,ValenceMatchingOnly,NegativeMatch,AbstractMismatch
worthless,thorny,abstract-negative,concrete-negative,ValenceMatchingOnly,NegativeMatch,AbstractMismatch
worthless,hairy,abstract-negative,concrete-negative,ValenceMatchingOnly,NegativeMatch,AbstractMismatch
worthless,dirty,abstract-negative,concrete-negative,ValenceMatchingOnly,NegativeMatch,AbstractMismatch
worthless,wrinkled,abstract-negative,concrete-negative,ValenceMatchingOnly,NegativeMatch,AbstractMismatch
worthless,freezing,abstract-negative,concrete-negative,ValenceMatchingOnly,NegativeMatch,AbstractMismatch
worthless,bloody,abstract-negative,concrete-negative,ValenceMatchingOnly,NegativeMatch,AbstractMismatch
awful,toothless,abstract-negative,concrete-negative,ValenceMatchingOnly,NegativeMatch,AbstractMismatch
awful,headless,abstract-negative,concrete-negative,ValenceMatchingOnly,NegativeMatch,AbstractMismatch
awful,bloodshot,abstract-negative,concrete-negative,ValenceMatchingOnly,NegativeMatch,AbstractMismatch
awful,rusted,abstract-negative,concrete-negative,ValenceMatchingOnly,NegativeMatch,AbstractMismatch
awful,thorny,abstract-negative,concrete-negative,ValenceMatchingOnly,NegativeMatch,AbstractMismatch
awful,hairy,abstract-negative,concrete-negative,ValenceMatchingOnly,NegativeMatch,AbstractMismatch
awful,dirty,abstract-negative,concrete-negative,ValenceMatchingOnly,NegativeMatch,AbstractMismatch
awful,wrinkled,abstract-negative,concrete-negative,ValenceMatchingOnly,NegativeMatch,AbstractMismatch
awful,freezing,abstract-negative,concrete-negative,ValenceMatchingOnly,NegativeMatch,AbstractMismatch
awful,bloody,abstract-negative,concrete-negative,ValenceMatchingOnly,NegativeMatch,AbstractMismatch
evil,toothless,abstract-negative,concrete-negative,ValenceMatchingOnly,NegativeMatch,AbstractMismatch
evil,headless,abstract-negative,concrete-negative,ValenceMatchingOnly,NegativeMatch,AbstractMismatch
evil,bloodshot,abstract-negative,concrete-negative,ValenceMatchingOnly,NegativeMatch,AbstractMismatch
evil,rusted,abstract-negative,concrete-negative,ValenceMatchingOnly,NegativeMatch,AbstractMismatch
evil,thorny,abstract-negative,concrete-negative,ValenceMatchingOnly,NegativeMatch,AbstractMismatch
evil,hairy,abstract-negative,concrete-negative,ValenceMatchingOnly,NegativeMatch,AbstractMismatch
evil,dirty,abstract-negative,concrete-negative,ValenceMatchingOnly,NegativeMatch,AbstractMismatch
evil,wrinkled,abstract-negative,concrete-negative,ValenceMatchingOnly,NegativeMatch,AbstractMismatch
evil,freezing,abstract-negative,concrete-negative,ValenceMatchingOnly,NegativeMatch,AbstractMismatch
evil,bloody,abstract-negative,concrete-negative,ValenceMatchingOnly,NegativeMatch,AbstractMismatch
