Word1,Word2,FeatureCombo1,FeatureCombo2,FeatureMatch
cuddle,content,physical-positive,psychological-positive,ValenceMatchingOnly
cuddle,encourage,physical-positive,psychological-positive,ValenceMatchingOnly
cuddle,appreciate,physical-positive,psychological-positive,ValenceMatchingOnly
cuddle,impress,physical-positive,psychological-positive,ValenceMatchingOnly
cuddle,like,physical-positive,psychological-positive,ValenceMatchingOnly
cuddle,reassure,physical-positive,psychological-positive,ValenceMatchingOnly
cuddle,respect,physical-positive,psychological-positive,ValenceMatchingOnly
cuddle,admire,physical-positive,psychological-positive,ValenceMatchingOnly
cuddle,adore,physical-positive,psychological-positive,ValenceMatchingOnly
cuddle,cherish,physical-positive,psychological-positive,ValenceMatchingOnly
build,content,physical-positive,psychological-positive,ValenceMatchingOnly
build,encourage,physical-positive,psychological-positive,ValenceMatchingOnly
build,appreciate,physical-positive,psychological-positive,ValenceMatchingOnly
build,impress,physical-positive,psychological-positive,ValenceMatchingOnly
build,like,physical-positive,psychological-positive,ValenceMatchingOnly
build,reassure,physical-positive,psychological-positive,ValenceMatchingOnly
build,respect,physical-positive,psychological-positive,ValenceMatchingOnly
build,admire,physical-positive,psychological-positive,ValenceMatchingOnly
build,adore,physical-positive,psychological-positive,ValenceMatchingOnly
build,cherish,physical-positive,psychological-positive,ValenceMatchingOnly
repair,content,physical-positive,psychological-positive,ValenceMatchingOnly
repair,encourage,physical-positive,psychological-positive,ValenceMatchingOnly
repair,appreciate,physical-positive,psychological-positive,ValenceMatchingOnly
repair,impress,physical-positive,psychological-positive,ValenceMatchingOnly
repair,like,physical-positive,psychological-positive,ValenceMatchingOnly
repair,reassure,physical-positive,psychological-positive,ValenceMatchingOnly
repair,respect,physical-positive,psychological-positive,ValenceMatchingOnly
repair,admire,physical-positive,psychological-positive,ValenceMatchingOnly
repair,adore,physical-positive,psychological-positive,ValenceMatchingOnly
repair,cherish,physical-positive,psychological-positive,ValenceMatchingOnly
caress,content,physical-positive,psychological-positive,ValenceMatchingOnly
caress,encourage,physical-positive,psychological-positive,ValenceMatchingOnly
caress,appreciate,physical-positive,psychological-positive,ValenceMatchingOnly
caress,impress,physical-positive,psychological-positive,ValenceMatchingOnly
caress,like,physical-positive,psychological-positive,ValenceMatchingOnly
caress,reassure,physical-positive,psychological-positive,ValenceMatchingOnly
caress,respect,physical-positive,psychological-positive,ValenceMatchingOnly
caress,admire,physical-positive,psychological-positive,ValenceMatchingOnly
caress,adore,physical-positive,psychological-positive,ValenceMatchingOnly
caress,cherish,physical-positive,psychological-positive,ValenceMatchingOnly
hug,content,physical-positive,psychological-positive,ValenceMatchingOnly
hug,encourage,physical-positive,psychological-positive,ValenceMatchingOnly
hug,appreciate,physical-positive,psychological-positive,ValenceMatchingOnly
hug,impress,physical-positive,psychological-positive,ValenceMatchingOnly
hug,like,physical-positive,psychological-positive,ValenceMatchingOnly
hug,reassure,physical-positive,psychological-positive,ValenceMatchingOnly
hug,respect,physical-positive,psychological-positive,ValenceMatchingOnly
hug,admire,physical-positive,psychological-positive,ValenceMatchingOnly
hug,adore,physical-positive,psychological-positive,ValenceMatchingOnly
hug,cherish,physical-positive,psychological-positive,ValenceMatchingOnly
produce,content,physical-positive,psychological-positive,ValenceMatchingOnly
produce,encourage,physical-positive,psychological-positive,ValenceMatchingOnly
produce,appreciate,physical-positive,psychological-positive,ValenceMatchingOnly
produce,impress,physical-positive,psychological-positive,ValenceMatchingOnly
produce,like,physical-positive,psychological-positive,ValenceMatchingOnly
produce,reassure,physical-positive,psychological-positive,ValenceMatchingOnly
produce,respect,physical-positive,psychological-positive,ValenceMatchingOnly
produce,admire,physical-positive,psychological-positive,ValenceMatchingOnly
produce,adore,physical-positive,psychological-positive,ValenceMatchingOnly
produce,cherish,physical-positive,psychological-positive,ValenceMatchingOnly
sculpt,content,physical-positive,psychological-positive,ValenceMatchingOnly
sculpt,encourage,physical-positive,psychological-positive,ValenceMatchingOnly
sculpt,appreciate,physical-positive,psychological-positive,ValenceMatchingOnly
sculpt,impress,physical-positive,psychological-positive,ValenceMatchingOnly
sculpt,like,physical-positive,psychological-positive,ValenceMatchingOnly
sculpt,reassure,physical-positive,psychological-positive,ValenceMatchingOnly
sculpt,respect,physical-positive,psychological-positive,ValenceMatchingOnly
sculpt,admire,physical-positive,psychological-positive,ValenceMatchingOnly
sculpt,adore,physical-positive,psychological-positive,ValenceMatchingOnly
sculpt,cherish,physical-positive,psychological-positive,ValenceMatchingOnly
twinkle,content,physical-positive,psychological-positive,ValenceMatchingOnly
twinkle,encourage,physical-positive,psychological-positive,ValenceMatchingOnly
twinkle,appreciate,physical-positive,psychological-positive,ValenceMatchingOnly
twinkle,impress,physical-positive,psychological-positive,ValenceMatchingOnly
twinkle,like,physical-positive,psychological-positive,ValenceMatchingOnly
twinkle,reassure,physical-positive,psychological-positive,ValenceMatchingOnly
twinkle,respect,physical-positive,psychological-positive,ValenceMatchingOnly
twinkle,admire,physical-positive,psychological-positive,ValenceMatchingOnly
twinkle,adore,physical-positive,psychological-positive,ValenceMatchingOnly
twinkle,cherish,physical-positive,psychological-positive,ValenceMatchingOnly
decorate,content,physical-positive,psychological-positive,ValenceMatchingOnly
decorate,encourage,physical-positive,psychological-positive,ValenceMatchingOnly
decorate,appreciate,physical-positive,psychological-positive,ValenceMatchingOnly
decorate,impress,physical-positive,psychological-positive,ValenceMatchingOnly
decorate,like,physical-positive,psychological-positive,ValenceMatchingOnly
decorate,reassure,physical-positive,psychological-positive,ValenceMatchingOnly
decorate,respect,physical-positive,psychological-positive,ValenceMatchingOnly
