Word1,Word2,FeatureCombo1,FeatureCombo2,FeatureMatch,Valence,Conceptual
cuddle,rust,physical-positive,physical-negative,ConceptualMatchingOnly,PositiveMismatch,ConceptualMatch:physical
cuddle,slaughter,physical-positive,physical-negative,ConceptualMatchingOnly,PositiveMismatch,ConceptualMatch:physical
cuddle,slash,physical-positive,physical-negative,ConceptualMatchingOnly,PositiveMismatch,ConceptualMatch:physical
cuddle,crash,physical-positive,physical-negative,ConceptualMatchingOnly,PositiveMismatch,ConceptualMatch:physical
cuddle,tear,physical-positive,physical-negative,ConceptualMatchingOnly,PositiveMismatch,ConceptualMatch:physical
cuddle,burn,physical-positive,physical-negative,ConceptualMatchingOnly,PositiveMismatch,ConceptualMatch:physical
cuddle,hit,physical-positive,physical-negative,ConceptualMatchingOnly,PositiveMismatch,ConceptualMatch:physical
cuddle,stain,physical-positive,physical-negative,ConceptualMatchingOnly,PositiveMismatch,ConceptualMatch:physical
cuddle,delete,physical-positive,physical-negative,ConceptualMatchingOnly,PositiveMismatch,ConceptualMatch:physical
cuddle,corrode,physical-positive,physical-negative,ConceptualMatchingOnly,PositiveMismatch,ConceptualMatch:physical
build,rust,physical-positive,physical-negative,ConceptualMatchingOnly,PositiveMismatch,ConceptualMatch:physical
build,slaughter,physical-positive,physical-negative,ConceptualMatchingOnly,PositiveMismatch,ConceptualMatch:physical
build,slash,physical-positive,physical-negative,ConceptualMatchingOnly,PositiveMismatch,ConceptualMatch:physical
build,crash,physical-positive,physical-negative,ConceptualMatchingOnly,PositiveMismatch,ConceptualMatch:physical
build,tear,physical-positive,physical-negative,ConceptualMatchingOnly,PositiveMismatch,ConceptualMatch:physical
build,burn,physical-positive,physical-negative,ConceptualMatchingOnly,PositiveMismatch,ConceptualMatch:physical
build,hit,physical-positive,physical-negative,ConceptualMatchingOnly,PositiveMismatch,ConceptualMatch:physical
build,stain,physical-positive,physical-negative,ConceptualMatchingOnly,PositiveMismatch,ConceptualMatch:physical
build,delete,physical-positive,physical-negative,ConceptualMatchingOnly,PositiveMismatch,ConceptualMatch:physical
build,corrode,physical-positive,physical-negative,ConceptualMatchingOnly,PositiveMismatch,ConceptualMatch:physical
repair,rust,physical-positive,physical-negative,ConceptualMatchingOnly,PositiveMismatch,ConceptualMatch:physical
repair,slaughter,physical-positive,physical-negative,ConceptualMatchingOnly,PositiveMismatch,ConceptualMatch:physical
repair,slash,physical-positive,physical-negative,ConceptualMatchingOnly,PositiveMismatch,ConceptualMatch:physical
repair,crash,physical-positive,physical-negative,ConceptualMatchingOnly,PositiveMismatch,ConceptualMatch:physical
repair,tear,physical-positive,physical-negative,ConceptualMatchingOnly,PositiveMismatch,ConceptualMatch:physical
repair,burn,physical-positive,physical-negative,ConceptualMatchingOnly,PositiveMismatch,ConceptualMatch:physical
repair,hit,physical-positive,physical-negative,ConceptualMatchingOnly,PositiveMismatch,ConceptualMatch:physical
repair,stain,physical-positive,physical-negative,ConceptualMatchingOnly,PositiveMismatch,ConceptualMatch:physical
repair,delete,physical-positive,physical-negative,ConceptualMatchingOnly,PositiveMismatch,ConceptualMatch:physical
repair,corrode,physical-positive,physical-negative,ConceptualMatchingOnly,PositiveMismatch,ConceptualMatch:physical
caress,rust,physical-positive,physical-negative,ConceptualMatchingOnly,PositiveMismatch,ConceptualMatch:physical
caress,slaughter,physical-positive,physical-negative,ConceptualMatchingOnly,PositiveMismatch,ConceptualMatch:physical
caress,slash,physical-positive,physical-negative,ConceptualMatchingOnly,PositiveMismatch,ConceptualMatch:physical
caress,crash,physical-positive,physical-negative,ConceptualMatchingOnly,PositiveMismatch,ConceptualMatch:physical
caress,tear,physical-positive,physical-negative,ConceptualMatchingOnly,PositiveMismatch,ConceptualMatch:physical
caress,burn,physical-positive,physical-negative,ConceptualMatchingOnly,PositiveMismatch,ConceptualMatch:physical
caress,hit,physical-positive,physical-negative,ConceptualMatchingOnly,PositiveMismatch,ConceptualMatch:physical
caress,stain,physical-positive,physical-negative,ConceptualMatchingOnly,PositiveMismatch,ConceptualMatch:physical
caress,delete,physical-positive,physical-negative,ConceptualMatchingOnly,PositiveMismatch,ConceptualMatch:physical
caress,corrode,physical-positive,physical-negative,ConceptualMatchingOnly,PositiveMismatch,ConceptualMatch:physical
hug,rust,physical-positive,physical-negative,ConceptualMatchingOnly,PositiveMismatch,ConceptualMatch:physical
hug,slaughter,physical-positive,physical-negative,ConceptualMatchingOnly,PositiveMismatch,ConceptualMatch:physical
hug,slash,physical-positive,physical-negative,ConceptualMatchingOnly,PositiveMismatch,ConceptualMatch:physical
hug,crash,physical-positive,physical-negative,ConceptualMatchingOnly,PositiveMismatch,ConceptualMatch:physical
hug,tear,physical-positive,physical-negative,ConceptualMatchingOnly,PositiveMismatch,ConceptualMatch:physical
hug,burn,physical-positive,physical-negative,ConceptualMatchingOnly,PositiveMismatch,ConceptualMatch:physical
hug,hit,physical-positive,physical-negative,ConceptualMatchingOnly,PositiveMismatch,ConceptualMatch:physical
hug,stain,physical-positive,physical-negative,ConceptualMatchingOnly,PositiveMismatch,ConceptualMatch:physical
hug,delete,physical-positive,physical-negative,ConceptualMatchingOnly,PositiveMismatch,ConceptualMatch:physical
hug,corrode,physical-positive,physical-negative,ConceptualMatchingOnly,PositiveMismatch,ConceptualMatch:physical
produce,rust,physical-positive,physical-negative,ConceptualMatchingOnly,PositiveMismatch,ConceptualMatch:physical
produce,slaughter,physical-positive,physical-negative,ConceptualMatchingOnly,PositiveMismatch,ConceptualMatch:physical
produce,slash,physical-positive,physical-negative,ConceptualMatchingOnly,PositiveMismatch,ConceptualMatch:physical
produce,crash,physical-positive,physical-negative,ConceptualMatchingOnly,PositiveMismatch,ConceptualMatch:physical
produce,tear,physical-positive,physical-negative,ConceptualMatchingOnly,PositiveMismatch,ConceptualMatch:physical
produce,burn,physical-positive,physical-negative,ConceptualMatchingOnly,PositiveMismatch,ConceptualMatch:physical
produce,hit,physical-positive,physical-negative,ConceptualMatchingOnly,PositiveMismatch,ConceptualMatch:physical
produce,stain,physical-positive,physical-negative,ConceptualMatchingOnly,PositiveMismatch,ConceptualMatch:physical
produce,delete,physical-positive,physical-negative,ConceptualMatchingOnly,PositiveMismatch,ConceptualMatch:physical
