Word1,Word2,FeatureCombo1,FeatureCombo2,FeatureMatch,Valence,Conceptual
fluffy,insulting,physical-positive,social-negative,MaxMismatch,PositiveMismatch,PhysicalMismatch
fluffy,greedy,physical-positive,social-negative,MaxMismatch,PositiveMismatch,PhysicalMismatch
fluffy,grumpy,physical-positive,social-negative,MaxMismatch,PositiveMismatch,PhysicalMismatch
fluffy,heartbroken,physical-positive,social-negative,MaxMismatch,PositiveMismatch,PhysicalMismatch
fluffy,racist,physical-positive,social-negative,MaxMismatch,PositiveMismatch,PhysicalMismatch
fluffy,dreaded,physical-positive,social-negative,MaxMismatch,PositiveMismatch,PhysicalMismatch
fluffy,humiliating,physical-positive,social-negative,MaxMismatch,PositiveMismatch,PhysicalMismatch
fluffy,stingy,physical-positive,social-negative,MaxMismatch,PositiveMismatch,PhysicalMismatch
fluffy,infuriating,physical-positive,social-negative,MaxMismatch,PositiveMismatch,PhysicalMismatch
fluffy,hateful,physical-positive,social-negative,MaxMismatch,PositiveMismatch,PhysicalMismatch
sunny,insulting,physical-positive,social-negative,MaxMismatch,PositiveMismatch,PhysicalMismatch
sunny,greedy,physical-positive,social-negative,MaxMismatch,PositiveMismatch,PhysicalMismatch
sunny,grumpy,physical-positive,social-negative,MaxMismatch,PositiveMismatch,PhysicalMismatch
sunny,heartbroken,physical-positive,social-negative,MaxMismatch,PositiveMismatch,PhysicalMismatch
sunny,racist,physical-positive,social-negative,MaxMismatch,PositiveMismatch,PhysicalMismatch
sunny,dreaded,physical-positive,social-negative,MaxMismatch,PositiveMismatch,PhysicalMismatch
sunny,humiliating,physical-positive,social-negative,MaxMismatch,PositiveMismatch,PhysicalMismatch
sunny,stingy,physical-positive,social-negative,MaxMismatch,PositiveMismatch,PhysicalMismatch
sunny,infuriating,physical-positive,social-negative,MaxMismatch,PositiveMismatch,PhysicalMismatch
sunny,hateful,physical-positive,social-negative,MaxMismatch,PositiveMismatch,PhysicalMismatch
blooming,insulting,physical-positive,social-negative,MaxMismatch,PositiveMismatch,PhysicalMismatch
blooming,greedy,physical-positive,social-negative,MaxMismatch,PositiveMismatch,PhysicalMismatch
blooming,grumpy,physical-positive,social-negative,MaxMismatch,PositiveMismatch,PhysicalMismatch
blooming,heartbroken,physical-positive,social-negative,MaxMismatch,PositiveMismatch,PhysicalMismatch
